Date,Time,Location,Latitude,Longitude,Operator,Flight #,Route,AC Type,Registration,cn/ln,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities Passangers,Fatalities Crew,Ground,Summary
9/17/1908,17:18,"Fort Myer, Virginia",38.883541,-77.0810889,Military - U.S. Army,,Demonstration,Wright Flyer III,,1,2,1,1,1,1,0,0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later."
9/7/1909,,"Juvisy-sur-Orge, France",48.692871,2.3708618,,,Air show,Wright Byplane,SC1,,1,0,1,1,0,0,0,"Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show."
7/12/1912,6:30,"Atlantic City, New Jersey",39.3636917,-74.4291041,Military - U.S. Navy,,Test flight,Dirigible,,,5,0,5,5,0,5,0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight."
8/6/1913,,"Victoria, British Columbia, Canada",48.4284207,-123.3656444,Private,,,Curtiss seaplane,,,1,0,1,1,0,1,0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed."
9/9/1913,18:30,Over the North Sea,56.511018,3.515625,Military - German Navy,,,Zeppelin L-1 (airship),,,20,NULL,NULL,14,NULL,NULL,0,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.
10/17/1913,10:30,"Near Johannisthal, Germany",52.4367582,13.5039931,Military - German Navy,,,Zeppelin L-2 (airship),,,30,NULL,NULL,30,NULL,NULL,0,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft.."
3/5/1915,1:00,"Tienen, Belgium",50.8097182,4.9370128,Military - German Navy,,,Zeppelin L-8 (airship),,,41,NULL,NULL,21,NULL,NULL,0,Crashed into trees while attempting to land after being shot down by British and French aircraft.
9/3/1915,15:20,"Off Cuxhaven, Germany",53.859336,8.6879057,Military - German Navy,,,Zeppelin L-10 (airship),,,19,NULL,NULL,19,NULL,NULL,0,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning."
7/28/1916,,"Near Jambol, Bulgeria",42.4841999,26.5035023,Military - German Army,,,Schutte-Lanz S-L-10 (airship),,,20,NULL,NULL,20,NULL,NULL,0,"Crashed near the Black Sea, cause unknown."
9/24/1916,1:00,"Billericay, England",51.627903,0.418397,Military - German Navy,,,Zeppelin L-32 (airship),,,22,NULL,NULL,22,NULL,NULL,0,Shot down by British aircraft crashing in flames.
10/1/1916,23:45,"Potters Bar, England",51.696636,-0.175948,Military - German Navy,,,Zeppelin L-31 (airship),,,19,0,19,19,0,19,0,Shot down in flames by the British 39th Home Defence Squadron.
11/21/1916,,"Mainz, Germany",49.9928617,8.2472526,Military - German Army,,,Super Zeppelin (airship),,,28,NULL,NULL,27,NULL,NULL,0,Crashed in a storm.
11/28/1916,23:45,"Off West Hartlepool, England",54.747883,-1.2940261,Military - German Navy,,,Zeppelin L-34 (airship),,,20,NULL,NULL,20,NULL,NULL,0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.
3/4/1917,,"Near Gent, Belgium",51.0499922,3.7303853,Military - German Army,,,Airship,,,20,NULL,NULL,20,NULL,NULL,0,Caught fire and crashed.
3/30/1917,,Off Northern Germany,51.165691,10.451526,Military - German Navy,,,Schutte-Lanz S-L-9 (airship),,,23,NULL,NULL,23,NULL,NULL,0,Struck by lightning and crashed into the Baltic Sea.
5/14/1917,5:15,"Near Texel Island, North Sea",53.077056,4.8318926,Military - German Navy,,,Zeppelin L-22 (airship),,,21,NULL,NULL,21,NULL,NULL,0,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire."
6/14/1917,8:45,"Off Vlieland Island, North Sea",53.2606424,4.9556956,Military - German Navy,,,Zeppelin L-43 (airship),,,24,NULL,NULL,24,NULL,NULL,0,Shot down by British aircraft.
6/17/1917,,"Near Yarmouth, England",52.598233,1.728047,,,,Zepplin LZ-95 (air ship),L-48,,16,NULL,NULL,14,NULL,NULL,0,Shot down by aircraft.
8/21/1917,7:00,Off western Denmark,45.5699557,-92.5096456,Military - German Navy,,,Zeppelin L-23 (airship),,,18,NULL,NULL,18,NULL,NULL,0,Shot down by British aircraft.
10/20/1917,7:45,"Near Luneville, France",48.592237,6.492339,Military - German Navy,,,Zeppelin L-44 (airship),,,18,NULL,NULL,18,NULL,NULL,0,Shot down by French anti-aircraft fire.
4/7/1918,21:30,Over the Mediterranean,34.5531284,18.0480105,Military - German Navy,,,Zeppelin L-59 (airship),,,23,NULL,NULL,23,NULL,NULL,0,Exploded and crashed into the sea off the southern coast of Italy.
5/10/1918,,"Off Helgoland Island, Germany",54.1833116,7.8827444,Military - German Navy,,,Zeppelin L-70 (airship),,,22,NULL,NULL,22,NULL,NULL,0,"Shot down by British aircraft crashing from a height of 17,000 ft."
8/11/1918,10:00,"Ameland Island, North Sea",53.4500611,5.7906079,Military - German Navy,,,Zeppelin L-53 (airship),,,19,NULL,NULL,19,NULL,NULL,0,Shot down by british aircraft.
12/16/1918,,"Elizabeth, New Jersey",40.663624,-74.2116825,US Aerial Mail Service,,,De Havilland DH-4,97,,1,0,1,1,0,1,0,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.
5/25/1919,,"Cleveland, Ohio",41.49932,-81.6943605,US Aerial Mail Service,,,De Havilland DH-4,61,,1,0,1,1,0,1,0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.
7/19/1919,,"Dix Run, Pennsylvania",40.9064,-77.9395179,US Aerial Mail Service,,,De Havilland DH-4,82,,1,0,1,1,0,1,0,The mail plane crashed under unknown circumstances.
7/21/1919,16:55,"Chicago, Illinois",41.88325,-87.6323879,Wingfoot Air Express Goodyear Tire,,Shuttle,FD Type Dirigible,,,NULL,NULL,NULL,3,2,1,10,"The dirigible, cruising at 1,200 ft. caught fire and crashed into the Illinois Trust and Savings Building in Chicago. The was transporting people from Grant Park to the White City amusement park.[1] One crew member, two passengers, and ten bank employees were killed"
8/2/1919,,"Verona, Italy",45.4383659,10.9917136,Caproni Company,,Venice  Taliedo,Caproni Ca.48,,,14,12,2,14,12,2,0,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.
10/2/1919,,"Newcastle, England",54.978252,-1.61778,Aircraft Transport and Travel,,,De Havilland DH-4,,,1,0,1,1,0,1,0,
10/14/1919,,"Cantonsville, Maryland",39.2720509,-76.7319161,US Aerial Mail Service,,,Curtiss R-4LM,32,,1,0,1,1,0,1,0,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods."
10/20/1919,,"English Channel off Forkstone, Kent",51.081397,1.169456,Aircraft Transport and Travel,,,De Havilland DH-4,G-EAHG,,0,0,1,0,0,0,0,Crashed into the sea while attempting to land in fog.
10/30/1919,,"Long Valley, New Jersey",40.7859331,-74.7801645,US Aerial Mail Service,,,De Havilland DH.4,77,77,1,0,1,1,0,1,0,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed."
12/11/1919,,"Catherham, Surrey, UK",51.280296,-0.0816159,Aircraft Travel Transport,,Paris - Hounslow,de Havilland DH-4,G-EAHF,,1,1,1,1,1,1,0,Crashed in a field while attemptting to land.
3/10/1920,,"New Paris, Indiana",41.5033572,-85.8307059,US Aerial Mail Service,,,De Havilland DH-4,65,,1,0,1,1,0,1,0,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area."
3/30/1920,,"Newark, New Jersey",40.7315293,-74.1744671,US Aerial Mail Service,,Washington - Newark,De Havilland DH-4,72,,1,0,1,1,0,1,0,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.
4/10/1920,,"Newark, New Jersey",40.7315293,-74.1744671,US Aerial Mail Service,,,Curtiss R-4LM,49,,2,1,1,1,0,1,0,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed.
4/11/1920,,"Heller Field, New Jersey",40.9356001,-74.6611769,US Aerial Mail Service,,,Curtiss JN-4H,44,,2,1,1,1,0,1,0,The aircraft crashed while on approach for unknown reasons.
5/12/1920,,"Oskaloosa, Iowa",41.2916728,-92.6493595,US Aerial Mail Service,,,De Havilland DH-4,79,,2,1,1,1,1,0,0,"In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field."
6/6/1920,,"Cleveland, Ohio",41.49932,-81.6943605,US Aerial Mail Service,,,De Havilland DH-4,204,,1,0,1,1,0,1,0,The aircraft suffered engine failure and crashed shortly after taking off.
7/20/1920,,"Cartagena, Columbia",10.3932277,-75.4832311,Compañia Colombiana de Navegación Aérea,,,Farman F-40,,,1,1,1,1,1,1,0,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.
8/16/1920,,"Bedford, England",52.1359783,-0.4666513,By Air,,,Armstrong-Whitworth F-K-8,G-EALW,,1,0,1,1,0,1,0,The plane crashed during a cargo flight under unknown circumstances.
8/16/1920,,"College Park, Maryland",38.9896967,-76.93776,US Aerial Mail Service,,,De Havilland DH-4,317,,1,0,1,1,0,1,0,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames."
9/1/1920,,"Morristown, New Jersey",40.7922983,-74.4763123,US Aerial Mail Service,,,Junkers JL-6,305,,2,0,2,2,0,2,0,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire."
9/15/1920,,"Pemberville, Ohio",41.4108855,-83.46104,US Aerial Mail Service,,,Junkers F-13,308,,2,NULL,NULL,2,NULL,NULL,0,The pilot crashed after attempting to make an emergency landing after the engine caught fire.
9/27/1920,,"Hillersburg, Pennsylvania",41.2033216,-77.1945247,US Aerial Mail Service,,,De Havilland DH-4,316,,1,0,1,1,0,1,0,The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.
10/2/1920,,"Off Port Vendres, France",42.518487,3.106592,Latecoere Airlines,,,Salmson 2-A-2,F-ALAI,31,2,1,1,2,1,1,0,Crashed into the Mediterranean while on a mail flight.
